A,B
1,74162
2,51002
3,42283
4,34060
5,29632
6,25383
7,22220
8,19946
9,18580
10,17076
11,15521
12,14504
13,13931
14,14781
15,14861
16,13656
17,14046
18,13616
19,13183
20,13168
21,12488
22,12800
23,13186
24,12799
25,12845
26,13246
27,12719
28,12347
29,12703
30,12237
31,12529
32,13684
33,13852
34,12478
35,12435
36,12484
37,12601
38,12356
39,12429
40,12324
41,12891
42,12308
43,12966
44,12600
45,12987
46,12976
47,12808
48,13192
49,13248
50,13933
51,13292
52,13494
53,13615
54,13482
55,13667
56,13434
57,13903
58,13735
59,14396
60,14010
61,15105
62,14795
63,15128
64,13412
65,14064
66,15103
67,14164
68,14171
69,14197
70,15298
71,14094
72,14279
73,14788
74,14797
75,14893
76,15573
77,15036
78,15069
79,15215
80,15041
81,15232
82,15309
83,15272
84,15603
85,15425
86,15300
87,15356
88,15644
89,15245
90,15062
91,14904
92,14965
93,14645
94,15080
95,14608
96,14743
97,14726
98,14713
99,14756
100,14315
