A,B
1,163166
2,124019
3,102441
4,93289
5,112067
6,72660
7,67296
8,63122
9,60853
10,58898
11,59751
12,56550
13,59829
14,54405
15,54472
16,52338
17,50563
18,52335
19,51329
20,49516
21,51135
22,50625
23,50659
24,53840
25,54436
26,51244
27,51547
28,51899
29,50945
30,51388
31,55351
32,320374
33,49715
34,48927
35,47704
36,47934
37,48094
38,45987
39,47294
40,48166
41,44344
42,48003
43,45067
44,48181
45,46396
46,43709
47,44825
48,45862
49,45528
50,44995
51,45195
52,46603
53,46781
54,43754
55,46006
56,42483
57,44700
58,46106
59,46418
60,46274
61,45070
62,44639
63,44830
64,44733
65,42439
66,45123
67,42427
68,44933
69,44967
70,42101
71,42756
72,43321
73,43463
74,43390
75,43345
76,44669
77,44545
78,42289
79,43835
80,41948
81,42389
82,43957
83,43689
84,43483
85,43466
86,42915
87,43488
88,42596
89,42439
90,43667
91,42347
92,43687
93,43088
94,42291
95,42792
96,42299
97,42528
98,42444
99,42727
100,42898
