A,B
1,76470
2,53243
3,44472
4,36256
5,31854
6,27635
7,24388
8,22121
9,20746
10,19238
11,17711
12,16670
13,16140
14,16968
15,17080
16,15878
17,16230
18,15819
19,15412
20,15407
21,14674
22,15000
23,15540
24,15069
25,15045
26,15455
27,15103
28,14674
29,14987
30,14486
31,14783
32,16151
33,16232
34,14859
35,14983
36,14782
37,14949
38,14713
39,14777
40,14822
41,15282
42,14638
43,15096
44,14969
45,15489
46,15391
47,15153
48,15392
49,15662
50,16448
51,15659
52,15907
53,15900
54,15957
55,16006
56,15913
57,16347
58,16159
59,16857
60,16457
61,17548
62,17618
63,18000
64,16419
65,16563
66,17517
67,16839
68,16550
69,16702
70,17652
71,16419
72,15854
73,16467
74,16446
75,16609
76,17217
77,16757
78,16713
79,16902
80,16711
81,16832
82,16994
83,16964
84,17284
85,17096
86,16949
87,17008
88,17254
89,16802
90,16615
91,16521
92,16432
93,16299
94,16529
95,16235
96,16290
97,16194
98,16164
99,16204
100,15747
